// R-Type format:
// <instr mnemonic> <opcode> <funct3> <funct7>
add 0000000 000 0000000
addu 0010000 000 0000000
sub 0000000 001 0000000
subu 0010000 001 0000000
mul 0000000 010 0000000
mulu 0010000 010 0000000
mulh 0000000 011 0000000
mulhu 0010000 011 0000000
div 0000000 100 0000000
divu 0010000 100 0000000
rem 0000000 101 0000000
remu 0010000 101 0000000
seq 0000100 000 0000000
slt 0000100 001 0000000
sltu 0001100 001 0000000
sle 0000100 010 0000000
sleu 0001100 010 0000000
sgt 0000100 011 0000000
sgtu 0001100 011 0000000
sge 0001100 100 0000000
sgeu 0001100 100 0000000
not 0001000 000 0000000
and 0001000 001 0000000
or 0001000 010 0000000
xor 0001000 011 0000000
nand 0001000 100 0000000
nor 0001000 101 0000000
xnor 0001000 110 0000000
sll 0011100 000 0000000
srl 0011100 001 0000000
sla 0011100 010 0000000
sra 0011100 011 0000000
